21st Century Charter - Gary|21st Century Charter School of Gary|180004602162|21st Century Charter Sch of Gary|41.60096|-87.3389
Adams Central|Adams Central Middle School|180006000008|Adams Central Middle School|40.746339|-84.942627
Alexandria Monroe|Alexandria-Monroe High School|180012000011|Alexandria-Monroe High School|40.252051|-85.678425
Anderson|Anderson High School|180015000029|Anderson High School|40.066105|-85.691188
Anderson Preparatory Academy|Anderson Preparatory Academy|180007702425|Anderson Preparatory Academy|40.08672|-85.680445
Andrean|Andrean High School|423376|ANDREAN HIGH SCHOOL|41.51057|-87.332641
Angola|Angola High School|181110001797|Angola High School|41.632038|-84.972291
Argos|Argos Community Junior-Senior High School|180018000048|Argos Comm Jr-Sr High School|41.241568|-86.249138
Attica|Attica High School|180021000050|Attica High School|40.276822|-87.251381
Austin|Austin High School|180999001605|Austin High School|38.73886|-85.800183
Avon|Avon High School|180027000057|Avon High School|39.739265|-86.38787
Barr Reeve|Barr Reeve Middle/High School|180033000061|Barr Reeve Middle/High School|38.668561|-87.048916
Batesville|Batesville High School|180039000084|Batesville High School|39.310897|-85.234089
Bedford North Lawrence|Bedford-North Lawrence High School|180786001337|Bedford-North Lawrence High Scho|38.881709|-86.443298
Beech Grove|Beech Grove Senior High School|180045000093|Beech Grove Sr High School|39.711396|-86.075823
Bellmont|Bellmont Senior High School|180768001314|Bellmont Senior High School|40.835426|-84.909757
Ben Davis|Ben Davis High School|181281002028|Ben Davis High School|39.784547|-86.290871
Benton Central|Benton Central Junior-Senior High School|180048000097|Benton Central Jr-Sr High School|40.564505|-87.242514
Bethany Christian|Bethany Christian School|424857|BETHANY CHRISTIAN SCHOOLS|41.54571|-85.827191
Bethesda Christian|Bethesda Christian School|425191|BETHESDA CHRISTIAN SCHOOLS|39.87935|-86.411541
Indianapolis Bishop Chatard|Bishop Chatard High School|422124|BISHOP CHATARD HIGH SCHOOL|39.86069|-86.127691
Fort Wayne Bishop Dwenger|Bishop Dwenger High School|422689|BISHOP DWENGER HIGH SCHOOL|41.1329|-85.126101
Fort Wayne Bishop Luers|Bishop Luers High School|422703|BISHOP LUERS HIGH SCHOOL|41.03232|-85.135241
Blackford|Blackford High School|180057000102|Blackford High School|40.485015|-85.371589
Fort Wayne Blackhawk Christian|Blackhawk Christian Mdl/High Sch|180363000516|Blackhawk Middle School|41.105263|-85.049681
Bloomfield|Bloomfield Junior-Senior High School|180060000113|Bloomfield Jr-Sr High School|39.025486|-86.945946
Bloomington North|Bloomington High School North|180063000119|Bloomington High School North|39.198622|-86.549153
Bloomington South|Bloomington High School South|180063000120|Bloomington High School South|39.142869|-86.528902
Blue River Valley|Blue River Valley Junior-Senior High Sch|180066000141|Blue River Valley Jr-Sr HS|40.0021|-85.328712
Bluffton|Bluffton High School|180072000146|Bluffton High School|40.723709|-85.162457
Boone Grove|Boone Grove High School|180918001521|Boone Grove High School|41.394874|-87.16457
Boonville|Boonville High School|181239001975|Boonville High School|38.052342|-87.277606
Borden|Borden High School|180937001540|William W Borden High School|38.469593|-85.946652
Bowman Leadership|Bowman Leadership Academy|180002501807|Thea Bowman Leadership Academy|41.599232|-87.349056
Brebeuf Jesuit Preparatory|Brebeuf Jesuit Preparatory School|wikiPageID:1687023|Brebeuf Jesuit Preparatory School|39.91027778|-86.20972222
Bremen|Bremen Senior High School|180090000168|Bremen Senior High School|41.443736|-86.15268
Broad Ripple|Broad Ripple Mgnt High School for Performing Arts|180477000804|Broad Ripple Mgnt HS for Prfm Ar|39.867482|-86.137682
Brown County|Brown County Intermediate School|180096002556|Brown County Intermediate School|39.2033|-86.245071
Brownsburg|Brownsburg High School|180102000176|Brownsburg High School|39.829857|-86.388188
Brownstown Central|Brownstown Central Middle School|180105000181|Brownstown Central Middle School|38.88092|-86.048132
Calumet|Calumet High School|180546000989|Calumet New Tech High School|41.547853|-87.410673
Cambridge City Lincoln|Cambridge City Lincoln Senior High School|wikiPageID:27736698|Lincoln Senior High School|39.81527778|-85.16583333
Cannelton|Cannelton Elem & High School|180117000191|Cannelton Elem & High School|37.91043|-86.743792
Indianapolis Cardinal Ritter|Cardinal Ritter High School|422077|CARDINAL RITTER HIGH SCHOOL|39.81255|-86.215591
South Bend Career Academy|Career Academy High School|180010102521|Career Academy High School|41.72775|-86.331631
Carmel|Carmel High School|180120000193|Carmel High School|39.979671|-86.119945
Carroll (Flora)|Carroll (Flora) Junior-Senior High School|180129000203|Carroll Senior High School|40.546066|-86.480883
Carroll (Fort Wayne)|Carroll High School|180825001414|Carroll High School|41.190123|-85.192623
Cascade|Cascade Senior High School|180666001171|Cascade Senior High School|39.66578|-86.559026
Castle|Castle High School|181239001977|Castle High School|37.985067|-87.384476
Caston|Caston Junior School|180141000207|Caston Jr-Sr High School|40.910933|-86.28261
Indianapolis Cathedral|Cathedral High School|wikiPageID:3323875|Cathedral High School|39.85194444|-86.08083333
Center Grove|Center Grove High School|180144000209|Center Grove High School|39.576171|-86.195162
Centerville|Centerville Senior High School|180156000217|Centerville Sr High School|39.812491|-85.000747
Central Christian|Central Christian School|A9901831|CENTRAL CHRISTIAN SCHOOL|41.13588|-85.006401
Central Noble|Central Noble Junior Senior High School|180171000230|Central Noble Junior Senior HS|41.39822|-85.418093
Charlestown|Charlestown Senior High School|180394000663|Charlestown Senior High School|38.454739|-85.666503
Chesterton|Chesterton Senior High School|180280000333|Chesterton Senior High School|41.588945|-87.064497
Christel House Academy|Christel House Academy South|180001801789|Christel House Academy South|39.727941|-86.148329
Christian Academy of Indiana|Christian Academy of Indiana|1902019|CHRISTIAN ACADEMY OF INDIANA|38.32643|-85.830071
Churubusco|Churubusco Junior-Senior High School|181023001638|Churubusco Jr-Sr High School|41.231183|-85.323629
Clarksville|Clarksville Senior High School|180192000249|Clarksville Senior High School|38.298573|-85.767937
Clay City|Clay City Junior Senior High School|180084000157|Clay City Jr-Sr High School|39.27939|-87.109679
South Bend Clay|Clay High School|181029001649|Clay High School|41.731927|-86.238379
Clinton Central|Clinton Central Junior-Senior High School|180213000257|Clinton Central Junior-Senior HS|40.298389|-86.391262
Clinton Prairie|Clinton Prairie Junior-Senior High School|180216000258|Clinton Prairie Jr-Sr High Schoo|40.251288|-86.591547
Cloverdale|Cloverdale High School|180222000265|Cloverdale High School|39.513183|-86.787218
Columbia City|Columbia City High School|180228000267|Columbia City High School|41.16289|-85.484186
Columbus East|Columbus East High School|180036000065|Columbus East High School|39.195497|-85.886253
Columbus North|Columbus North High School|180036000066|Columbus North High School|39.224518|-85.909554
Concord|Concord Community High School|180240000269|Concord Community High School|41.635603|-85.928811
Fort Wayne Concordia Lutheran|Concordia Lutheran High School|2159782|CONCORDIA LUTHERAN HIGH SCHOOL|41.10922|-85.117401
Connersville|Connersville Senior High School|180351000498|Connersville Sr High School|39.636171|-85.159724
Corydon Central|Corydon Central High School|181036002282|Corydon Central High School|38.200137|-86.119437
Covenant Christian (Indianapolis)|Covenant Christian High School|A0103217|COVENANT CHRISTIAN HIGH SCHOOL|39.792882|-86.293179
Covenant Christian (DeMotte)|Covenant Christian High School|A0103217|COVENANT CHRISTIAN HIGH SCHOOL|41.194239|-87.198207
Covington|Covington Community High School|180243000275|Covington Community High School|40.142986|-87.396112
Cowan|Cowan High School|180702001200|Cowan High School|40.107651|-85.392567
Crawford County|Crawford County High School|180244000279|Crawford County Jr-Sr HS|38.31951|-86.353511
Crawfordsville|Crawfordsville Senior High School|180246000287|Crawfordsville Sr High School|40.021139|-86.907304
Indianapolis Crispus Attucks|Crispus Attucks Medical Magnet High School|180477000815|Crispus Attucks Medical Magnet H|39.782849|-86.169967
Crothersville|Crothersville Junior-Senior High School|181206001893|Crothersville Jr-Sr High School|38.79728|-85.83712
Crown Point|Crown Point High School|180249000293|Crown Point High School|41.389664|-87.359668
Culver Academies|Culver Academies|A1101060|CULVER ACADEMIES|41.225042|-86.404731
Culver Community|Culver Community Middle/High Sch|180252000301|Culver Community High School|41.223936|-86.425288
Daleville|Daleville Junior-Senior High School|180984001603|Daleville Jr-Sr High School|40.118444|-85.554684
Danville Community|Danville Community High School|180255000304|Danville Community High School|39.757104|-86.540349
Decatur Central|Decatur Central High School|180264000312|Decatur Central High School|39.686698|-86.274046
DeKalb|DeKalb High School|180159000220|DeKalb High School|41.40668|-85.040443
Delphi Community|Delphi Community Middle School|180270000327|Delphi Community Middle School|40.575187|-86.667314
Delta|Delta High School|180266000320|Delta High School|40.278907|-85.348117
East Central|East Central High School|181119001802|East Central High School|39.279246|-84.973944
East Chicago Central|East Chicago Central High School|180288002272|East Chicago Central High School|41.63278|-87.453261
East Noble|East Noble High School|180297000389|East Noble High School|41.435128|-85.257017
Eastbrook|Eastbrook High School|180303000399|Eastbrook High School|40.545411|-85.505035
Eastern (Greentown)|Eastern (Greentown) Jr & Senior High School|180315000413|Eastern High School|40.473309|-85.971711
Eastern (Pekin)|Eastern (Pekin) High School|180300000395|Eastern High School|38.514695|-86.002001
Eastern Greene|Eastern Greene High School|180309000408|Eastern Greene High School|39.031869|-86.737245
Eastern Hancock|Eastern Hancock Middle School|180312000658|Eastern Hancock Middle School|39.824236|-85.609944
Eastside|Eastside Junior-Senior High School|180306000405|Eastside Junior-Senior High Scho|41.431599|-84.863175
Edgewood|Edgewood High School|180948001546|Edgewood High School|39.235985|-86.634179
Edinburgh|Edinburgh Community High School|180324000422|Edinburgh Community High School|39.352055|-85.970264
Elkhart Central|Elkhart Central High School|180327000429|Elkhart Central High School|41.685046|-85.959028
Elkhart Christian Academy|Elkhart Christian Academy|425362|ELKHART CHRISTIAN ACADEMY|41.638|-85.959831
Elkhart Memorial|Elkhart Memorial High School|180327000430|Elkhart Memorial High School|41.696585|-86.014024
Elwood Community|Elwood Community High School|180330000449|Elwood Jr-Sr High School|40.290037|-85.835314
Eminence|Eminence Junior-Senior High School|180333000454|Eminence Jr-Sr High School|39.524298|-86.642559
Indianapolis Emmerich Manual|Emmerich Manual High School|180011200825|Emmerich Manual High School|39.73338|-86.152671
Evansville Central|Evans Central High School|180345000473|Evans School|38.00547|-87.550391
Evansville Bosse|Benjamin Bosse High School|180345000456|Benjamin Bosse High School|37.96293|-87.54059
Evansville Day|Evansville Day School|425136|EVANSVILLE DAY SCHOOL|38.01071|-87.495581
Evansville F.J. Reitz|Francis Joseph Reitz High School|180345000466|Francis Joseph Reitz High School|37.973088|-87.605592
Evansville Harrison|William Henry Harrison High School|180345000490|William Henry Harrison High Scho|37.973531|-87.485975
Evansville North|North High School|180345000478|North High School|38.115817|-87.551413
Evansville Memorial|Reitz Memorial High School|422306|REITZ MEMORIAL HIGH SCHOOL|37.97172|-87.536641
Fairfield|Fairfield Junior-Senior High School|180348000491|Fairfield Jr-Sr High School|41.517698|-85.767808
Faith Christian|Faith Christian School|A9901842|FAITH CHRISTIAN SCHOOL|40.41864|-86.797911
Fishers|Fishers High School|181065002392|Fishers High School|39.978051|-85.966691
Floyd Central|Floyd Central High School|180741001265|Floyd Central High School|38.333266|-85.931037
Forest Park|Forest Park High School|181064001745|Forest Park Jr-Sr High School|38.227576|-86.857431
Fort Wayne Canterbury|Fort Wayne Canterbury School|181035002230|Fort Branch Community School|41.054054|-85.212181 
Fountain Central|Fountain Central High School|181062001742|Fountain Central High School|40.106202|-87.226833
Frankfort|Frankfort Senior High School|180366000574|Frankfort Senior High School|40.281706|-86.485294
Franklin Central|Franklin Central High School|180375000597|Franklin Central High School|39.677022|-86.015513
Franklin Community|Franklin Community High School|180369000581|Franklin Community High Sch|39.511913|-86.087325
Franklin County|Franklin County High|180370002336|Franklin County High|39.428741|-84.998757
Frankton|Frankton Junior-Senior High School|181288002050|Frankton Jr-Sr High School|40.220442|-85.773531
Fremont|Fremont High School|180378000601|Fremont High School|41.729725|-84.939996
Frontier|Frontier Junior-Senior High School|180381000603|Frontier Jr-Sr High School|40.66434|-86.862521
Garrett|Garrett High School|180384000605|Garrett High School|41.346734|-85.126952
Lighthouse CPA|Gary Lighthouse Charter School|180005202155|Gary Lighthouse Charter School|41.560324|-87.350459
Gary Roosevelt|Roosevelt Car & Tech Academy|180011900645|Theodore Roosevelt Car & Tech Ac|41.574449|-87.345258
Gary West Side|West Side Leadership Academy|180387000648|West Side Leadership Academy|41.592556|-87.408516
Gibson Southern|Gibson Southern High School|181035001688|Gibson Southern High School|38.236923|-87.635017
Goshen|Goshen High School|180393000654|Goshen High School|41.580589|-85.823145
Greencastle|Greencastle Senior High School|180399000690|Greencastle Senior High School|39.643436|-86.844187
Greenfield-Central|Greenfield-Central High School|180405000696|Greenfield-Central High Sch|39.792015|-85.781158
Greensburg|Greensburg Community High School|180408000704|Greensburg Community High School|39.34134|-85.467948
Greenwood Christian Academy|Greenwood Christian Academy|A9901835|GREENWOOD CHRISTIAN ACADEMY|39.58566|-86.124031
Greenwood Community|Greenwood Community High Sch|180411000709|Greenwood Community High Sch|39.60313|-86.117622
Griffith|Griffith Senior High School|180417000722|Griffith Senior High School|41.531693|-87.436907
Guerin Catholic|St Theodore Guerin High School|A0700892|ST THEODORE GUERIN HIGH SCHOOL|40.00962|-86.086001
Hagerstown|Hagerstown Junior-Senior High School|180738001261|Hagerstown Jr-Sr High School|39.920299|-85.161401
Hamilton|Hamilton Community High School|180423000724|Hamilton Community High Sch|41.522281|-84.920799
Hamilton Heights|Hamilton Heights High School|180426000728|Hamilton Heights High School|40.16531|-86.015631
Hamilton Southeastern|Hamilton Southeastern High School|181065001752|Hamilton Southeastern HS|39.971031|-85.91673
Hammond Academy of Science & Technology|Hammond Academy of Science & Technology|180008202466|Hammond Academy of Science & Tec|41.61775|-87.523471
Hammond Bishop Noll|Bishop Noll Institute|423274|BISHOP NOLL INSTITUTE|41.62783|-87.493071
Hammond Clark|George Rogers Clark Middle - High School|180432000735|George Rogers Clark Md/HS|41.678225|-87.506808
Hammond Gavit|Donald E Gavit Middle/High School|180432000734|Donald E Gavit Middle/High Schoo|41.576998|-87.487789
Hammond|Hammond High School|180432000736|Hammond High School|41.605718|-87.509562
Hammond Morton|Morton Senior High School|180432000746|Morton Senior High School|41.586739|-87.440178
Hanover Central|Hanover Central Middle School|180435001908|Hanover Central Middle School|41.356487|-87.463382
Harrison (West Lafayette)|Harrison High School|180069000144|North Harrison High School|40.499316|-86.914805
Hauser|Hauser Junior-Senior High School|180357000509|Hauser Jr-Sr High School|39.292713|-85.769977
Hebron|Hebron High School|180075000153|Hebron High School|41.313891|-87.196143
Henryville|Henryville Jr & Senior High School|180937001531|Henryville Jr & Sr High School|38.544046|-85.768995
Heritage Christian|Heritage Christian School|353555|PROTESTANT REFORMED/HERITAGE CHRISTIAN SCHOOLS|39.888127|-86.059706
Heritage Hills|Heritage Hills High School|180801001376|Heritage Hills High School|38.119622|-86.986804
Heritage|Heritage Jr/Senior High School|180285000344|Heritage Jr/Sr High School|40.976602|-84.962024
Herron|Herron High School|180005802315|Herron High School|39.789037|-86.155436
Highland|Highland High School|180456000763|Highland High School|41.546884|-87.458783
Hobart|Hobart High School|180459000774|Hobart High School|41.51785|-87.232311
Homestead|Homestead Senior High School|180003000002|Homestead Senior High School|41.043337|-85.286132
Huntington North|Huntington North High School|180471000786|Huntington North High School|40.892287|-85.510937
Indian Creek|Indian Creek High School|180762001303|Indian Creek Sr High School|39.40683|-86.15823
Indiana Math & Science Academy|Indiana Math & Science Academy|180006702416|Indiana Math & Science Academy|39.822475|-86.236995
Indiana School For The Blind|Indiana School For The Blind|180002302257|Indiana School For The Blind|39.893489|-86.143344
Indiana School for the Deaf|Indiana School For The Deaf|180002402258|Indiana School For The Deaf|39.835117|-86.13585
Indianapolis Arlington|Arlington Community High School|180477000799|Arlington Community High School|39.84331|-86.062271
Indianapolis Arsenal Technical|Arsenal Technical High School|180477000801|Arsenal Technical High School|39.775843|-86.132986
Indianapolis George|George Washington Community|180477001446|George Washington Community HS|39.764722|-86.1993
Indianapolis Howe|Howe Community High School|180012601445|Thomas Carr Howe Comm High Schoo|39.76831|-86.085681
Lighthouse Charter South|Indpls Lighthouse Charter School|180005102165|Indpls Lighthouse Charter School|39.743394|-86.088571
Indianapolis Lutheran|Lutheran High School of Indianapolis|424201|LUTHERAN HIGH SCHOOL OF INDIANAPOLIS|39.6875|-86.062341
Indianapolis Metropolitan|Indianapolis Metropolitan High School|180006402408|Indianapolis Metropolitan High S|39.773776|-86.191604
Indianapolis Northwest|Northwest Community High School|180477000878|Northwest Community High School|39.813937|-86.258433
Indianapolis Scecina Memorial|Scecina Memorial High School|421244|SCECINA MEMORIAL HIGH SCHOOL|39.78723|-86.085331
Indianapolis Shortridge|Shortridge High School|180477002238|Shortridge High School|39.8181|-86.155604
International School of Indiana|International School of Indiana High School|180345000481|Plaza Park International Prep Ac|39.833776|-86.185438
Irvington Preparatory|Irvington Preparatory Academy|180001401756|Irvington Community School|39.769302|-86.052044
Jac-Cen-Del|Jac-Cen-Del Junior-Senior High School|180480000907|Jac-Cen-Del MS/HS|39.142016|-85.295121
Jasper|Jasper High School|180396000685|Jasper High School|38.402437|-86.950229
Jay County|Jay County High School|180498000914|Jay County High School|40.429648|-85.023385
Jeffersonville|Jeffersonville High School|180394000666|Jeffersonville High School|38.317166|-85.711334
Jennings County|Jennings County High School|180519000923|Jennings County High School|38.998829|-85.641632
Jimtown|Jimtown High School|180042000090|Jimtown High School|41.63738|-86.024254
Glenn|John Glenn High School|180912001505|John Glenn High School|41.45653|-86.478841
Kankakee Valley|Kankakee Valley High School|180528000933|Kankakee Valley High School|41.18582|-87.119783
Knightstown|Knightstown High School|180106000189|Knightstown High School|39.79264|-85.541774
Knox|Knox Community High School|180534000938|Knox Community High School|41.285472|-86.625898
Kokomo|Kokomo High School|180537000947|Kokomo High School|40.456143|-86.157291
Kouts|Kouts Middle/High School|180900001497|Kouts Middle/High School|41.314244|-87.022925
LaCrosse|LaCrosse Elementary & High School|180010702511|LaCrosse School|41.31755|-86.889871
Lafayette Central Catholic|Lafayette Central Catholic Junior-Senior High School|wikiPageID:3243171|Lafayette Central Catholic Junior-Senior High School|40.39305556|-86.88583333
Lafayette Jefferson|Jefferson High School|180540000968|Jefferson High School|40.399312|-86.875273
Lake Central|Lake Central High School|180545000984|Lake Central High School|41.468748|-87.473192
Lake Station Edison|Thomas A Edison Jr-Sr HS|180291000380|Thomas A Edison Jr-Sr HS|41.577105|-87.245031
Lakeland Christian Academy|Lakeland Christian Academy|424813|LAKELAND CHRISTIAN ACADEMY|41.21956|-85.798401
Lakeland|Lakeland High School|180552000996|Lakeland High School|41.653851|-85.410299
